effort,M,rel_err
2500,5,0.2060774184618612
3000,6,0.2952989117985245
3500,7,0.1148574527603711
4000,8,0.2012767940833817
4500,9,0.1371385273773661
5000,10,0.1200687139388958
5500,11,0.007093902531260575
6000,12,0.05553021339737678
6500,13,0.03814760882231389
7000,14,0.005180101078819584
7500,15,0.04747231022755786
8000,16,0.0346882165676781
8500,17,0.04129602336535624
9000,18,0.01773027776838823
9500,19,0.02842308575982137
10000,20,0.006660058192520086
11500,23,0.003508524336774625
14000,28,0.01134784847418146
17000,34,0.00742687372061001
21000,42,0.006638997179247602
26000,52,0.0007964482255198831
31500,63,0.001762416254098615
38500,77,0.0003537039982184284
47500,95,0.0003407666858969187
58000,116,0.0006212833434823074
71500,143,0.0002482021130942783
87500,175,0.0003925644092139574
107000,214,1.66991377595444e-05
131000,262,0.0001039095510640113
160500,321,5.151261839514996e-05
197000,394,6.345413788079801e-05
241000,482,2.1632417839286e-05
295500,591,2.396340429083609e-05
362000,724,2.165530989481939e-05
443500,887,9.040858710809783e-06
543500,1087,6.018634869032145e-06
666000,1332,2.83645461718289e-06
800000,1600,4.694340858114384e-06
808500,1617,4.458519013938846e-06
816000,1632,1.889861720075194e-06
816500,1633,4.371200172783894e-06
825000,1650,4.414166638459635e-06
833500,1667,4.195044716038142e-06
841500,1683,4.1153146309037e-06
850000,1700,4.158348399102445e-06
858500,1717,3.954251654707138e-06
866500,1733,3.881255819442641e-06
875000,1750,3.924142721245123e-06
883500,1767,3.733609266386002e-06
891500,1783,3.66661015872424e-06
900000,1800,3.709181891009819e-06
908500,1817,3.530930350581245e-06
916500,1833,3.469288682410142e-06
925000,1850,3.51141371251177e-06
933500,1867,3.344316518968288e-06
941500,1883,3.287476015846731e-06
950000,1900,3.329052469839603e-06
958500,1917,3.172113786238833e-06
966500,1933,3.119588483555474e-06
975000,1950,3.160538371148044e-06
983500,1967,3.012875603265208e-06
991500,1983,2.96423954870886e-06
1000000,2000,3.004504134375758e-06
